"","Gender","IsMarried","IsPremiumCust","City","JobType","HouseHoldPopulation","CurrentPlan","AccType","Movie1","Movie2","Movie3","Movie4","Movie5","Movie6","Movie7","Movie8","Movie9","Movie10","Salary_cat","Age_Cat","CustSeniority_Cat","CustCat_Names"
"238","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Blore","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-SuddenDeath","Movie-Toy Story","Movie-The American President","Movie-Balto","Movie-Waiting to Exhale","Movie-Heat","Movie-Nixon","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-2","CustCat_Spenders"
"239","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Jumanji","Movie-GoldenEye","Movie-Toy Story","Movie-SuddenDeath","Movie-Waiting to Exhale","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Nixon","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_Spenders"
"240","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Blore","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Heat","Movie-GoldenEye","Movie-Sabrina","Movie-Balto","Movie-Tom And Huck","Movie-SuddenDeath","Movie-Tom And Huck","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-4","CustCat_Spenders"
"241","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Single","Movie-GoldenEye","Movie-GoldenEye","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-Father of the Bride Part II","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-The American President","Movie-Balto","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-4","CustCat_Spenders"
"242","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-Sabrina","Movie-GoldenEye","Movie-Sabrina","Movie-Jumanji","Movie-GoldenEye","Movie-Nixon","Movie-Ace Ventura: When Nature Calls","Movie-Nixon","Movie-GoldenEye","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_Spenders"
"243","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Noida","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-Waiting to Exhale","Movie-GoldenEye","Movie-Balto","Movie-Heat","Movie-Jumanji","Movie-Nixon","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-4","CustCat_Spenders"
"244","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Single","Movie-Waiting to Exhale","Movie-GoldenEye","Movie-Tom And Huck","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-Toy Story","Movie-SuddenDeath","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-2","CustCat_Spenders"
"245","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-GoldenEye","Movie-Heat","Movie-Jumanji","Movie-Nixon","Movie-Heat","Movie-SuddenDeath","Movie-GoldenEye","Movie-SuddenDeath","Movie-Balto","Movie-The American President","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_Spenders"
"246","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mysore","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Single","Movie-Toy Story","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Toy Story","Movie-The American President","Movie-Balto","Movie-Father of the Bride Part II","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-3","CustCat_Spenders"
"247","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-The American President","Movie-Grumpier Old Men","Movie-Grumpier Old Men","Movie-Grumpier Old Men","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-1","CustCat_Spenders"
"248","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Noida","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Single","Movie-Sabrina","Movie-Sabrina","Movie-Balto","Movie-Tom And Huck","Movie-Sabrina","Movie-Heat","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Waiting to Exhale","Movie-Heat","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-2","CustCat_Spenders"
"249","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Jumanji","Movie-GoldenEye","Movie-Toy Story","Movie-Toy Story","Movie-Nixon","Movie-Sabrina","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_Spenders"
"250","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mumbai","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Single","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Heat","Movie-Tom And Huck","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-3","CustCat_Spenders"
"251","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Blore","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Single","Movie-Tom And Huck","Movie-Father of the Bride Part II","Movie-Balto","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-The American President","Movie-Sabrina","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-3","CustCat_Spenders"
"252","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-Jumanji","Movie-Sabrina","Movie-Toy Story","Movie-Toy Story","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Heat","Movie-Waiting to Exhale","Movie-Toy Story","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_UncertainCust"
"253","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Heat","Movie-The American President","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Nixon","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-Waiting to Exhale","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-3","CustCat_UncertainCust"
"254","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-The American President","Movie-Sabrina","Movie-GoldenEye","Movie-The American President","Movie-Tom And Huck","Movie-Tom And Huck","Movie-Balto","Movie-Jumanji","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-2","CustCat_UncertainCust"
"255","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Jumanji","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Nixon","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Sabrina","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_UncertainCust"
"256","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Technology","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Waiting to Exhale","Movie-Balto","Movie-SuddenDeath","Movie-Grumpier Old Men","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-4","CustCat_UncertainCust"
"257","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Movie-Nixon","Movie-Tom And Huck","Movie-Toy Story","Movie-Jumanji","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Heat","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-1","CustCat_UncertainCust"
"258","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-Father of the Bride Part II","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-Tom And Huck","Movie-Tom And Huck","Movie-GoldenEye","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Heat","Movie-Father of the Bride Part II","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-4","CustCat_UncertainCust"
"259","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Tom And Huck","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-Grumpier Old Men","Movie-Sabrina","Movie-Toy Story","Movie-Father of the Bride Part II","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-1","CustCat_UncertainCust"
"260","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Tom And Huck","Movie-Heat","Movie-Jumanji","Movie-Jumanji","Movie-Toy Story","Movie-The American President","Movie-Waiting to Exhale","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-4","CustCat_UncertainCust"
"261","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-Tom And Huck","Movie-SuddenDeath","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Heat","Movie-Nixon","Movie-Jumanji","Movie-Toy Story","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-2","CustCat_UncertainCust"
"262","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-GoldenEye","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Nixon","Movie-Jumanji","Movie-Jumanji","Movie-Tom And Huck","Movie-SuddenDeath","Movie-Toy Story","Movie-SuddenDeath","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_UncertainCust"
"263","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-Sabrina","Movie-Jumanji","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Heat","Movie-Father of the Bride Part II","Movie-The American President","Movie-Toy Story","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-1","CustCat_UncertainCust"
"264","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Sabrina","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-The American President","Movie-Grumpier Old Men","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-Balto","Movie-Grumpier Old Men","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_UncertainCust"
"265","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-Toy Story","Movie-Heat","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-3","CustCat_UncertainCust"
"266","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Grumpier Old Men","Movie-Nixon","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Nixon","Movie-Toy Story","Movie-Waiting to Exhale","Movie-Heat","Movie-Father of the Bride Part II","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-4","CustCat_UncertainCust"
"267","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Jumanji","Movie-Toy Story","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Tom And Huck","Movie-Balto","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-3","CustCat_UncertainCust"
"268","Gender-F","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-Heat","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-1","CustCat_UncertainCust"
"269","Gender-M","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Balto","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-1","CustCat_UncertainCust"
"270","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-Sabrina","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Sabrina","Movie-Tom And Huck","Movie-The American President","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Movie-Grumpier Old Men","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_UncertainCust"
"271","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanD","AccType-Joint","Movie-Grumpier Old Men","Movie-Grumpier Old Men","Movie-The American President","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-The American President","Movie-Waiting to Exhale","Movie-Heat","Movie-Sabrina","Movie-Balto","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-1","CustCat_UncertainCust"
"272","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanB","AccType-Joint","Movie-Waiting to Exhale","Movie-Tom And Huck","Movie-Balto","Movie-Heat","Movie-Heat","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-3","CustCat_UncertainCust"
"273","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Noida","JobType-Self","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-SuddenDeath","Movie-Heat","Movie-Jumanji","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-Waiting to Exhale","Movie-Balto","Movie-Sabrina","Movie-Heat","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-1","CustCat_UncertainCust"
"274","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-Nixon","Movie-Balto","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-SuddenDeath","Movie-Father of the Bride Part II","Movie-Dracula: Dead and Loving It","Movie-Heat","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-4","CustCat_UncertainCust"
"275","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-1","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Movie-Toy Story","Movie-GoldenEye","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Balto","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-1","CustCat_UncertainCust"
"276","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-The American President","Movie-Nixon","Movie-The American President","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-Sabrina","Movie-Heat","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-4","CustCat_UncertainCust"
"277","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-Ace Ventura: When Nature Calls","Movie-Nixon","Movie-Sabrina","Movie-Balto","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_UncertainCust"
"278","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Nixon","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-GoldenEye","Movie-Sabrina","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-2","CustCat_UncertainCust"
"279","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Heat","Movie-Grumpier Old Men","Movie-Sabrina","Movie-SuddenDeath","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-1","CustCat_UncertainCust"
"280","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-Sabrina","Movie-Balto","Movie-Heat","Movie-Heat","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-SuddenDeath","Movie-Jumanji","Movie-Jumanji","Movie-Balto","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-3","CustCat_UncertainCust"
"281","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-HomeMaker","HouseHoldPopulation-1","CurrentPlan-PlanB","AccType-Single","Movie-Jumanji","Movie-Jumanji","Movie-Sabrina","Movie-Waiting to Exhale","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-GoldenEye","Movie-Balto","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-3","CustCat_UncertainCust"
"282","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-Jumanji","Movie-Nixon","Movie-Nixon","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Heat","Movie-The American President","Movie-Tom And Huck","Movie-SuddenDeath","Movie-Sabrina","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-4","CustCat_UncertainCust"
"283","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-Nixon","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Sabrina","Movie-Tom And Huck","Movie-Jumanji","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Jumanji","Movie-The American President","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-2","CustCat_UncertainCust"
"284","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Heat","Movie-Balto","Movie-Grumpier Old Men","Movie-Balto","Movie-Nixon","Movie-Sabrina","Movie-Heat","Movie-Jumanji","Movie-GoldenEye","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-3","CustCat_UncertainCust"
"285","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Sabrina","Movie-The American President","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-SuddenDeath","Movie-GoldenEye","Movie-Heat","Movie-The American President","Movie-Grumpier Old Men","Movie-Grumpier Old Men","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-3","CustCat_UncertainCust"
"286","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-The American President","Movie-Tom And Huck","Movie-Toy Story","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Jumanji","Movie-Balto","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-2","CustCat_UncertainCust"
"287","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-The American President","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-Tom And Huck","Movie-Toy Story","Movie-Toy Story","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Jumanji","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-3","CustCat_UncertainCust"
"288","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Toy Story","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-Balto","Movie-Waiting to Exhale","Movie-Heat","Movie-Waiting to Exhale","Movie-Balto","Movie-Tom And Huck","Movie-Heat","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-1","CustCat_UncertainCust"
"289","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Toy Story","Movie-Nixon","Movie-Heat","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Movie-SuddenDeath","Movie-SuddenDeath","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-3","CustCat_UncertainCust"
"290","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Noida","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Joint","Movie-Heat","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-Dracula: Dead and Loving It","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-Father of the Bride Part II","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-2","CustCat_UncertainCust"
"291","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-Heat","Movie-Nixon","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-SuddenDeath","Movie-Toy Story","Movie-Sabrina","Movie-Balto","Movie-SuddenDeath","Movie-SuddenDeath","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-3","CustCat_UncertainCust"
"292","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Technology","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Sabrina","Movie-Balto","Movie-Heat","Movie-Heat","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Movie-Sabrina","Movie-Toy Story","Movie-Jumanji","Movie-Sabrina","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-1","CustCat_UncertainCust"
"293","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Joint","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Toy Story","Movie-Balto","Movie-Heat","Movie-Grumpier Old Men","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-Balto","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_UncertainCust"
"294","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-The American President","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-Nixon","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-SuddenDeath","Movie-Nixon","Movie-Grumpier Old Men","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-1","CustCat_UncertainCust"
